,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
0,130,9931,51,1,1,0,36,0,0,0,51,1
1,22,9945,41,0,1,0,5,0,1,0,41,0
2,22,9945,41,0,1,0,5,0,1,0,41,0
3,75,9967,66,1,1,0,39,0,2,0,66,1
4,123,9987,34,0,1,0,34,0,0,0,20,0
5,166,10039,54,1,1,0,14,0,11,0,54,1
6,166,10039,54,1,1,0,14,0,11,0,54,1
7,15,10059,64,1,1,0,29,0,7,0,64,1
8,130,10064,54,1,1,0,41,0,1,0,54,1
9,33,10081,68,1,2,0,68,1,1,0,58,1
10,109,10135,41,0,1,0,24,0,6,0,41,0
11,54,10164,59,1,1,0,30,0,4,0,59,1
12,75,10170,55,1,1,0,47,0,0,0,55,1
13,166,9612,72,1,1,0,4,0,23,0,72,1
14,123,9626,28,0,1,0,28,0,2,0,28,0
15,22,9672,154,3,5,0,0,0,13,0,154,3
16,34,9732,67,1,1,0,16,0,2,0,67,1
17,129,9764,62,1,1,0,37,0,1,0,62,1
18,130,9778,31,0,1,0,31,0,0,0,17,0
19,54,9811,56,1,1,0,35,0,0,0,56,1
20,166,9818,77,1,2,0,22,0,15,0,77,1
21,166,9818,77,1,2,0,22,0,15,0,77,1
22,70,9819,44,0,1,0,15,0,0,0,44,0
23,22,9837,30,0,1,0,9,0,2,0,30,0
24,53,9838,30,0,1,0,30,0,1,0,15,0
25,144,9853,79,1,3,0,18,0,5,0,79,1
26,166,9863,34,0,1,0,19,0,7,0,34,0
27,164,9868,51,1,1,0,20,0,5,0,51,1
28,166,9874,77,1,1,0,34,0,0,0,77,1
29,166,9902,61,1,1,0,32,0,3,0,61,1
30,22,9913,32,0,1,0,7,0,2,0,32,0
31,130,3052,29,0,0,0,29,0,0,0,25,0
32,69,3081,247,4,3,0,162,3,1,0,247,4
33,166,3113,45,0,1,0,32,0,7,0,45,0
34,166,3113,45,0,1,0,32,0,7,0,45,0
35,166,3113,45,0,1,0,32,0,7,0,45,0
36,15,3141,36,0,1,0,25,0,3,0,36,0
37,65,3154,124,2,2,0,15,0,5,0,124,2
38,166,3160,72,1,1,0,26,0,2,0,72,1
39,164,3173,55,1,0,0,32,0,1,0,55,1
